"","products","Date","purchase_count"
"1","Bluntest sharpener",2019-11-01,4
"2","Bluntest sharpener",2019-11-02,1
"3","Bluntest sharpener",2019-11-03,1
"4","Bluntest sharpener",2019-11-04,5
"5","Bluntest sharpener",2019-11-05,5
"6","Bluntest sharpener",2019-11-06,6
"7","Bluntest sharpener",2019-11-07,6
"8","Bluntest sharpener",2019-11-08,5
"9","Bluntest sharpener",2019-11-09,1
"10","Bluntest sharpener",2019-11-10,1
"11","Bluntest sharpener",2019-11-11,6
"12","Bluntest sharpener",2019-11-12,5
"13","Bluntest sharpener",2019-11-13,6
"14","Bluntest sharpener",2019-11-14,4
"15","Bluntest sharpener",2019-11-15,4
"16","Bluntest sharpener",2019-11-16,1
"17","Bluntest sharpener",2019-11-17,1
"18","Bluntest sharpener",2019-11-18,6
"19","Bluntest sharpener",2019-11-19,5
"20","Bluntest sharpener",2019-11-20,6
"21","Bluntest sharpener",2019-11-21,5
"22","Bluntest sharpener",2019-11-22,5
"23","Bluntest sharpener",2019-11-23,1
"24","Bluntest sharpener",2019-11-24,1
"25","Bluntest sharpener",2019-11-25,5
"26","Bluntest sharpener",2019-11-26,4
"27","Bluntest sharpener",2019-11-27,4
"28","Bluntest sharpener",2019-11-28,3
"29","Bluntest sharpener",2019-11-29,3
"30","Bluntest sharpener",2019-11-30,1
"31","Bluntest sharpener",2019-12-01,1
"32","Bluntest sharpener",2019-12-02,5
"33","Bluntest sharpener",2019-12-03,5
"34","Bluntest sharpener",2019-12-04,5
"35","Bluntest sharpener",2019-12-05,5
"36","Bluntest sharpener",2019-12-06,4
"37","Bluntest sharpener",2019-12-07,1
"38","Bluntest sharpener",2019-12-08,1
"39","Bluntest sharpener",2019-12-09,6
"40","Bluntest sharpener",2019-12-10,5
"41","Bluntest sharpener",2019-12-11,5
"42","Bluntest sharpener",2019-12-12,5
"43","Bluntest sharpener",2019-12-13,4
"44","Bluntest sharpener",2019-12-14,1
"45","Bluntest sharpener",2019-12-15,1
"46","Bluntest sharpener",2019-12-16,5
"47","Bluntest sharpener",2019-12-17,4
"48","Bluntest sharpener",2019-12-18,4
"49","Bluntest sharpener",2019-12-19,4
"50","Bluntest sharpener",2019-12-20,4
"51","Bluntest sharpener",2019-12-21,1
"52","Bluntest sharpener",2019-12-22,1
"53","Bluntest sharpener",2019-12-23,3
"54","Bluntest sharpener",2019-12-24,2
"55","Bluntest sharpener",2019-12-25,1
"56","Bluntest sharpener",2019-12-26,3
"57","Bluntest sharpener",2019-12-27,2
"58","Bluntest sharpener",2019-12-28,1
"59","Bluntest sharpener",2019-12-29,1
"60","Bluntest sharpener",2019-12-30,3
"61","Bluntest sharpener",2019-12-31,2
"62","Bluntest sharpener",2020-01-01,1
"63","Bluntest sharpener",2020-01-02,5
"64","Bluntest sharpener",2020-01-03,4
"65","Bluntest sharpener",2020-01-04,1
"66","Bluntest sharpener",2020-01-05,1
"67","Bluntest sharpener",2020-01-06,5
"68","Bluntest sharpener",2020-01-07,5
"69","Bluntest sharpener",2020-01-08,6
"70","Bluntest sharpener",2020-01-09,5
"71","Bluntest sharpener",2020-01-10,4
"72","Bluntest sharpener",2020-01-11,1
"73","Bluntest sharpener",2020-01-12,1
"74","Bluntest sharpener",2020-01-13,5
"75","Bluntest sharpener",2020-01-14,5
"76","Bluntest sharpener",2020-01-15,5
"77","Bluntest sharpener",2020-01-16,5
"78","Bluntest sharpener",2020-01-17,4
"79","Bluntest sharpener",2020-01-18,1
"80","Bluntest sharpener",2020-01-19,1
"81","Bluntest sharpener",2020-01-20,4
"82","Bluntest sharpener",2020-01-21,5
"83","Bluntest sharpener",2020-01-22,4
"84","Bluntest sharpener",2020-01-23,4
"85","Bluntest sharpener",2020-01-24,4
"86","Bluntest sharpener",2020-01-25,1
"87","Bluntest sharpener",2020-01-26,1
"88","Bluntest sharpener",2020-01-27,5
"89","Bluntest sharpener",2020-01-28,5
"90","Bluntest sharpener",2020-01-29,4
"91","Bluntest sharpener",2020-01-30,4
"92","Bluntest sharpener",2020-01-31,3
"93","Bluntest sharpener",2020-02-01,1
"94","Bluntest sharpener",2020-02-02,1
"95","Bluntest sharpener",2020-02-03,5
"96","Bluntest sharpener",2020-02-04,4
"97","Bluntest sharpener",2020-02-05,5
"98","Bluntest sharpener",2020-02-06,6
"99","Bluntest sharpener",2020-02-07,5
"100","Bluntest sharpener",2020-02-08,1
"101","Bluntest sharpener",2020-02-09,1
"102","Bluntest sharpener",2020-02-10,5
"103","Bluntest sharpener",2020-02-11,4
"104","Bluntest sharpener",2020-02-12,5
"105","Bluntest sharpener",2020-02-13,5
"106","Bluntest sharpener",2020-02-14,4
"107","Bluntest sharpener",2020-02-15,1
"108","Bluntest sharpener",2020-02-16,1
"109","Bluntest sharpener",2020-02-17,4
"110","Bluntest sharpener",2020-02-18,5
"111","Bluntest sharpener",2020-02-19,5
"112","Bluntest sharpener",2020-02-20,4
"113","Bluntest sharpener",2020-02-21,4
"114","Bluntest sharpener",2020-02-22,1
"115","Bluntest sharpener",2020-02-23,1
"116","Bluntest sharpener",2020-02-24,5
"117","Bluntest sharpener",2020-02-25,4
"118","Bluntest sharpener",2020-02-26,5
"119","Bluntest sharpener",2020-02-27,5
"120","Bluntest sharpener",2020-02-28,3
"121","Bluntest sharpener",2020-02-29,1
"122","Bluntest sharpener",2020-03-01,1
"123","Bluntest sharpener",2020-03-02,5
"124","Bluntest sharpener",2020-03-03,4
"125","Bluntest sharpener",2020-03-04,5
"126","Bluntest sharpener",2020-03-05,5
"127","Bluntest sharpener",2020-03-06,5
"128","Bluntest sharpener",2020-03-07,1
"129","Bluntest sharpener",2020-03-08,1
"130","Bluntest sharpener",2020-03-09,5
"131","Bluntest sharpener",2020-03-10,5
"132","Bluntest sharpener",2020-03-11,5
"133","Bluntest sharpener",2020-03-12,5
"134","Bluntest sharpener",2020-03-13,4
"135","Bluntest sharpener",2020-03-14,1
"136","Bluntest sharpener",2020-03-15,1
"137","Bluntest sharpener",2020-03-16,5
"138","Bluntest sharpener",2020-03-17,5
"139","Bluntest sharpener",2020-03-18,5
"140","Bluntest sharpener",2020-03-19,4
"141","Bluntest sharpener",2020-03-20,4
"142","Bluntest sharpener",2020-03-21,1
"143","Bluntest sharpener",2020-03-22,1
"144","Bluntest sharpener",2020-03-23,5
"145","Bluntest sharpener",2020-03-24,4
"146","Bluntest sharpener",2020-03-25,4
"147","Bluntest sharpener",2020-03-26,4
"148","Bluntest sharpener",2020-03-27,5
"149","Bluntest sharpener",2020-03-28,1
"150","Bluntest sharpener",2020-03-29,1
"151","Bluntest sharpener",2020-03-30,5
"152","Bluntest sharpener",2020-03-31,4
"153","Bluntest sharpener",2020-04-01,5
"154","Bluntest sharpener",2020-04-02,4
"155","Bluntest sharpener",2020-04-03,4
"156","Bluntest sharpener",2020-04-04,2
"157","Bluntest sharpener",2020-04-05,1
"158","Bluntest sharpener",2020-04-06,5
"159","Bluntest sharpener",2020-04-07,5
"160","Bluntest sharpener",2020-04-08,5
"161","Bluntest sharpener",2020-04-09,4
"162","Bluntest sharpener",2020-04-10,3
"163","Bluntest sharpener",2020-04-11,1
"164","Bluntest sharpener",2020-04-12,1
"165","Bluntest sharpener",2020-04-13,4
"166","Bluntest sharpener",2020-04-14,5
"167","Bluntest sharpener",2020-04-15,5
"168","Bluntest sharpener",2020-04-16,5
